	Time	1	2
S/N		946487	946487
Type		TGP-4520	TGP-4520
Description		TT14	TT14
Property		Black Probe Temperature	White Probe Temperature
381	4 mar 2025 02:20	-6.192 °C	-6.094 °C
382	4 mar 2025 02:30	-6.192 °C	-6.094 °C
383	4 mar 2025 02:40	-6.192 °C	-6.094 °C
384	4 mar 2025 02:50	-6.192 °C	-6.094 °C
385	4 mar 2025 03:00	-6.192 °C	-6.094 °C
386	4 mar 2025 03:10	-6.192 °C	-6.094 °C
387	4 mar 2025 03:20	-6.191 °C	-6.092 °C
388	4 mar 2025 03:30	-6.192 °C	-6.094 °C
389	4 mar 2025 03:40	-6.191 °C	-6.094 °C
390	4 mar 2025 03:50	-6.189 °C	-6.094 °C
391	4 mar 2025 04:00	-6.191 °C	-6.096 °C
392	4 mar 2025 04:10	-6.192 °C	-6.094 °C
393	4 mar 2025 04:20	-6.191 °C	-6.094 °C
394	4 mar 2025 04:30	-6.191 °C	-6.092 °C
395	4 mar 2025 04:40	-6.191 °C	-6.092 °C
396	4 mar 2025 04:50	-6.191 °C	-6.092 °C
397	4 mar 2025 05:00	-6.191 °C	-6.092 °C
398	4 mar 2025 05:10	-6.191 °C	-6.092 °C
399	4 mar 2025 05:20	-6.189 °C	-6.092 °C
400	4 mar 2025 05:30	-6.189 °C	-6.092 °C
401	4 mar 2025 05:40	-6.189 °C	-6.092 °C
402	4 mar 2025 05:50	-6.189 °C	-6.092 °C
403	4 mar 2025 06:00	-6.189 °C	-6.094 °C
404	4 mar 2025 06:10	-6.189 °C	-6.092 °C
405	4 mar 2025 06:20	-6.189 °C	-6.092 °C
406	4 mar 2025 06:30	-6.189 °C	-6.092 °C
407	4 mar 2025 06:40	-6.189 °C	-6.092 °C
408	4 mar 2025 06:50	-6.189 °C	-6.090 °C
409	4 mar 2025 07:00	-6.189 °C	-6.092 °C
410	4 mar 2025 07:10	-6.189 °C	-6.092 °C
411	4 mar 2025 07:20	-6.187 °C	-6.092 °C
412	4 mar 2025 07:30	-6.189 °C	-6.092 °C
413	4 mar 2025 07:40	-6.187 °C	-6.090 °C
414	4 mar 2025 07:50	-6.187 °C	-6.092 °C
415	4 mar 2025 08:00	-6.187 °C	-6.090 °C
416	4 mar 2025 08:10	-6.187 °C	-6.090 °C
417	4 mar 2025 08:20	-6.187 °C	-6.090 °C
418	4 mar 2025 08:30	-6.187 °C	-6.090 °C
419	4 mar 2025 08:40	-6.187 °C	-6.090 °C
420	4 mar 2025 08:50	-6.187 °C	-6.090 °C
421	4 mar 2025 09:00	-6.187 °C	-6.090 °C
422	4 mar 2025 09:10	-6.185 °C	-6.090 °C
423	4 mar 2025 09:20	-6.185 °C	-6.090 °C
424	4 mar 2025 09:30	-6.183 °C	-6.090 °C
425	4 mar 2025 09:40	-6.187 °C	-6.090 °C
426	4 mar 2025 09:50	-6.185 °C	-6.090 °C
427	4 mar 2025 10:00	-6.185 °C	-6.092 °C
428	4 mar 2025 10:10	-6.185 °C	-6.090 °C
429	4 mar 2025 10:20	-6.185 °C	-6.090 °C
430	4 mar 2025 10:30	-6.185 °C	-6.090 °C
431	4 mar 2025 10:40	-6.185 °C	-6.090 °C
432	4 mar 2025 10:50	-6.185 °C	-6.090 °C
433	4 mar 2025 11:00	-6.185 °C	-6.090 °C
434	4 mar 2025 11:10	-6.183 °C	-6.090 °C
435	4 mar 2025 11:20	-6.183 °C	-6.090 °C
436	4 mar 2025 11:30	-6.183 °C	-6.090 °C
437	4 mar 2025 11:40	-6.183 °C	-6.090 °C
438	4 mar 2025 11:50	-6.183 °C	-6.088 °C
439	4 mar 2025 12:00	-6.183 °C	-6.090 °C
440	4 mar 2025 12:10	-6.183 °C	-6.090 °C
441	4 mar 2025 12:20	-6.183 °C	-6.090 °C
442	4 mar 2025 12:30	-6.183 °C	-6.090 °C
443	4 mar 2025 12:40	-6.183 °C	-6.090 °C
444	4 mar 2025 12:50	-6.181 °C	-6.090 °C
445	4 mar 2025 13:00	-6.183 °C	-6.090 °C
446	4 mar 2025 13:10	-6.181 °C	-6.090 °C
447	4 mar 2025 13:20	-6.181 °C	-6.090 °C
448	4 mar 2025 13:30	-6.181 °C	-6.088 °C
449	4 mar 2025 13:40	-6.181 °C	-6.090 °C
450	4 mar 2025 13:50	-6.181 °C	-6.090 °C
